Categoria: Tutte le categorie

Settimana,basic income: (Tutto il mondo)
2015-01-04,19
2015-01-11,19
2015-01-18,22
2015-01-25,20
2015-02-01,21
2015-02-08,21
2015-02-15,20
2015-02-22,25
2015-03-01,21
2015-03-08,23
2015-03-15,22
2015-03-22,19
2015-03-29,19
2015-04-05,17
2015-04-12,22
2015-04-19,19
2015-04-26,19
2015-05-03,20
2015-05-10,19
2015-05-17,20
2015-05-24,18
2015-05-31,16
2015-06-07,16
2015-06-14,18
2015-06-21,23
2015-06-28,21
2015-07-05,22
2015-07-12,17
2015-07-19,17
2015-07-26,19
2015-08-02,20
2015-08-09,17
2015-08-16,19
2015-08-23,20
2015-08-30,17
2015-09-06,21
2015-09-13,22
2015-09-20,20
2015-09-27,22
2015-10-04,18
2015-10-11,19
2015-10-18,17
2015-10-25,20
2015-11-01,21
2015-11-08,18
2015-11-15,21
2015-11-22,17
2015-11-29,21
2015-12-06,48
2015-12-13,24
2015-12-20,17
2015-12-27,24
2016-01-03,23
2016-01-10,25
2016-01-17,22
2016-01-24,30
2016-01-31,34
2016-02-07,29
2016-02-14,32
2016-02-21,33
2016-02-28,35
2016-03-06,87
2016-03-13,50
2016-03-20,34
2016-03-27,31
2016-04-03,33
2016-04-10,39
2016-04-17,36
2016-04-24,40
2016-05-01,41
2016-05-08,34
2016-05-15,31
2016-05-22,37
2016-05-29,55
2016-06-05,100
2016-06-12,38
2016-06-19,32
2016-06-26,30
2016-07-03,25
2016-07-10,25
2016-07-17,26
2016-07-24,28
2016-07-31,25
2016-08-07,23
2016-08-14,19
2016-08-21,23
2016-08-28,35
2016-09-04,25
2016-09-11,28
2016-09-18,31
2016-09-25,31
2016-10-02,29
2016-10-09,30
2016-10-16,35
2016-10-23,31
2016-10-30,31
2016-11-06,44
2016-11-13,50
2016-11-20,40
2016-11-27,39
2016-12-04,56
2016-12-11,42
2016-12-18,35
2016-12-25,29
2017-01-01,79
2017-01-08,50
2017-01-15,50
2017-01-22,54
2017-01-29,75
2017-02-05,54
2017-02-12,49
2017-02-19,62
2017-02-26,54
2017-03-05,52
2017-03-12,52
2017-03-19,50
2017-03-26,48
2017-04-02,45
2017-04-09,42
2017-04-16,52
2017-04-23,81
2017-04-30,46
2017-05-07,46
2017-05-14,32
2017-05-21,60
2017-05-28,61
2017-06-04,43
2017-06-11,47
2017-06-18,48
2017-06-25,45
2017-07-02,46
2017-07-09,35
2017-07-16,44
2017-07-23,36
2017-07-30,38
2017-08-06,32
2017-08-13,31
2017-08-20,29
2017-08-27,33
2017-09-03,41
2017-09-10,45
2017-09-17,51
2017-09-24,47
2017-10-01,41
2017-10-08,43
2017-10-15,42
2017-10-22,41
2017-10-29,39
2017-11-05,45
2017-11-12,34
