Id,Label,timeset,Level,Seed,clustering,category
tax shift,tax shift,,2,false,0,1
99ers,99ers,,0,false,0,4
basic income,Basic income,,-1,true,0.016641,8
global basic income,Global basic income,,0,true,0,8
automation and the future of jobs,Automation and the Future of Jobs,,1,false,0,5
cash transfers,Cash transfers,,-1,false,0.053571,1
citizen's dividend,Citizen's dividend,,-1,false,0.084559,1
"economic, social and cultural rights","Economic, social and cultural rights",,1,false,0.001976,3
fairtax,FairTax,,1,false,0.009524,1
geolibertarianism,Geolibertarianism,,0,false,0.012179,3
givedirectly,GiveDirectly,,1,false,0.15,1
guaranteed minimum income,Guaranteed minimum income,,-1,false,0.020161,1
involuntary unemployment,Involuntary unemployment,,1,false,0.005682,1
left-libertarianism,Left-libertarianism,,1,false,0.013228,3
living wage,Living wage,,0,false,0.025362,1
minimum wage,Minimum wage,,1,false,0.026144,1
negative income tax,Negative income tax,,-1,false,0.098485,1
economy of cuba,Economy of Cuba,,1,false,0.022222,7
old age security,Old Age Security,,-1,false,0.166667,6
quatinga velho,Quatinga Velho,,-1,false,0,7
post-scarcity economy,Post-scarcity economy,,1,false,0.003024,1
redistribution of income and wealth,Redistribution of income and wealth,,-1,false,0.009804,4
refusal of work,Refusal of work,,-1,false,0.022222,4
social dividend,Social dividend,,-1,false,0.055147,1
social safety net,Social safety net,,-1,false,0.006536,4
speenhamland system,Speenhamland system,,1,false,0,2
the triple revolution,The Triple Revolution,,-1,false,0.033333,4
unemployment benefits,Unemployment benefits,,0,false,0.036364,1
universal credit,Universal Credit,,1,false,0.033333,1
welfare capitalism,Welfare capitalism,,1,false,0,1
working time,Working time,,-1,false,0.013158,4
workâ€“life balance,Work life balance,,0,false,0.00641,4
business day,Business day,,2,false,0,1
"hours of work (commerce and offices) convention, 1930","Hours of Work (Commerce and Offices) Convention, 1930",,2,false,0,2
"hours of work (industry) convention, 1919","Hours of Work (Industry) Convention, 1919",,2,false,0,2
"hours of work and manning (sea) convention, 1936","Hours of Work and Manning (Sea) Convention, 1936",,2,false,0,2
human capital,Human capital,,0,false,0,1
karÅ�shi,KarÅ�shi,,2,false,1,2
labour market flexibility,Labour market flexibility,,0,false,1,1
saint monday,Saint Monday,,2,false,0,4
short time,Short Time,,2,false,0,4
soviet calendar,Soviet calendar,,2,false,0,2
waiting for the weekend,Waiting for the Weekend,,2,false,0,4
absenteeism,Absenteeism,,2,false,0,4
dual-career commuter couples,Dual-career commuter couples,,2,false,0,1
medical resident work hours,Medical resident work hours,,0,false,0,6
mompreneur,Mompreneur,,2,false,0,1
"money-rich, time-poor","Money-rich, time-poor",,0,false,0,4
on-ramping,On-Ramping,,2,false,0,1
personal life,Personal life,,0,false,0,4
presenteeism,Presenteeism,,0,false,0,1
shared earning/shared parenting marriage,Shared Earning/Shared Parenting Marriage,,2,false,0,3
superwoman (sociology),Superwoman (sociology),,2,false,0,3
telecommuting,Telecommuting,,2,false,0,5
time bind,Time bind,,0,false,0,4
total worker health,Total Worker Health,,2,false,0,6
workaholic,Workaholic,,0,false,0,1
workâ€“family balance in the united states,Work family balance in the United States,,2,false,0,2
workâ€“life balance in germany,Work life balance in Germany,,2,false,0,2
workâ€“life interface,Work life interface,,2,false,0,1
burnout (psychology),Burnout (psychology),,2,false,0,6
clinical psychology,Clinical psychology,,2,false,0,6
health psychology,Health Psychology,,2,false,0,6
industrial and organizational psychology,Industrial and Organizational Psychology,,2,false,0,6
occupational health psychology,Occupational health psychology,,2,false,0,6
